Airline ID,Departures Performed,Distance, Available Seats, Transported Passengers,Carrier Name,Year,Month ,Day,From - To City,Date,Weekend / Weekday
19874,16,135,0,0,Air Transport International,2012,7,7,"Portland, OR - Seattle, WA",07-07-2012,Weekend
20357,21,569,0,0,Astar Air Cargo Inc.,2012,10,9,"Cincinnati, OH - Newark, NJ",09-10-2012,Weekday
19874,5,834,0,0,Air Transport International,2012,1,27,"Los Angeles, CA - Portland, OR",27-01-2012,Weekday
20007,2,1425,0,0,Atlas Air Inc.,2012,9,2,"Anchorage, AK - Everett, WA",02-09-2012,Weekend
20370,4,3127,0,0,Kalitta Air LLC,2013,4,1,"Anchorage, AK - Columbus, OH",01-04-2013,Weekday
19874,2,2043,0,0,Air Transport International,2013,3,15,"Toledo, OH - San Jose, CA",15-03-2013,Weekday
20370,4,163,0,0,Kalitta Air LLC,2013,1,13,"Honolulu, HI - Kona, HI",13-01-2013,Weekend
19874,21,1952,0,0,Air Transport International,2013,4,14,"Los Angeles, CA - Toledo, OH",14-04-2013,Weekend
20007,5,2419,0,0,Atlas Air Inc.,2013,6,23,"Charleston, SC - Everett, WA",23-06-2013,Weekend
19874,2,702,0,0,Air Transport International,2013,5,6,"Seattle, WA - San Jose, CA",06-05-2013,Weekday
19874,15,526,0,0,Air Transport International,2013,2,18,"Toledo, OH - Minneapolis, MN",18-02-2013,Weekday
19874,9,526,0,0,Air Transport International,2013,4,26,"Toledo, OH - Minneapolis, MN",26-04-2013,Weekday
19874,9,1769,0,0,Air Transport International,2013,3,13,"San Jose, CA - Rockford, IL",13-03-2013,Weekday
19874,12,448,0,0,Air Transport International,2013,2,16,"Charlotte, NC - Philadelphia, PA",16-02-2013,Weekend
20357,2,330,0,0,"Astar USA, LLC",2013,6,8,"Greensboro/High Point, NC - Cincinnati, OH",08-06-2013,Weekend
20007,4,214,0,0,Atlas Air Inc.,2013,5,22,"Chicago, IL - Toledo, OH",22-05-2013,Weekday
19874,14,1952,0,0,Air Transport International,2013,2,2,"Toledo, OH - Los Angeles, CA",02-02-2013,Weekend
20357,4,430,0,0,"Astar USA, LLC",2013,6,9,"Cincinnati, OH - Baltimore, MD",09-06-2013,Weekend
19874,15,943,0,0,Air Transport International,2013,5,11,"Toledo, OH - Dallas/Fort Worth, TX",11-05-2013,Weekend
20357,13,403,0,0,"Astar USA, LLC",2013,4,8,"Atlanta, GA - Orlando, FL",08-04-2013,Weekday
19874,9,135,0,0,Air Transport International,2013,4,13,"Seattle, WA - Portland, OR",13-04-2013,Weekend
19874,7,301,0,0,Air Transport International,2013,4,23,"Laredo, TX - Houston, TX",23-04-2013,Weekday
20357,4,1069,0,0,"Astar USA, LLC",2013,6,4,"Cincinnati, OH - Denver, CO",04-06-2013,Weekday
19874,8,949,0,0,Air Transport International,2013,3,23,"Denver, CO - San Jose, CA",23-03-2013,Weekend
20357,12,403,0,0,"Astar USA, LLC",2013,2,8,"Atlanta, GA - Orlando, FL",08-02-2013,Weekday
20370,3,2504,0,0,Kalitta Air LLC,2013,4,21,"Kona, HI - Los Angeles, CA",21-04-2013,Weekend
19874,10,949,0,0,Air Transport International,2013,5,26,"Denver, CO - San Jose, CA",26-05-2013,Weekend
20007,2,1425,0,0,Atlas Air Inc.,2013,4,28,"Anchorage, AK - Everett, WA",28-04-2013,Weekend
19874,11,943,0,0,Air Transport International,2013,3,1,"Dallas/Fort Worth, TX - Toledo, OH",01-03-2013,Weekday
19874,2,1576,0,0,Air Transport International,2013,3,3,"San Jose, CA - Minneapolis, MN",03-03-2013,Weekend
20007,2,823,0,0,Atlas Air Inc.,2013,4,17,"New York, NY - Huntsville, AL",17-04-2013,Weekday
20007,3,3110,0,0,Atlas Air Inc.,2013,6,26,"Cincinnati, OH - Anchorage, AK",26-06-2013,Weekday
19874,8,448,0,0,Air Transport International,2013,1,11,"Charlotte, NC - Philadelphia, PA",11-01-2013,Weekday
20405,2,2345,0,0,"National Air Cargo Group, Inc. d/b/a Murray Air",2013,6,5,"Los Angeles, CA - Anchorage, AK",05-06-2013,Weekday
20357,23,752,0,0,"Astar USA, LLC",2013,3,19,"Boston, MA - Cincinnati, OH",19-03-2013,Weekday
20357,2,1069,0,0,"Astar USA, LLC",2013,6,6,"Denver, CO - Cincinnati, OH",06-06-2013,Weekday
20007,13,3386,0,0,Atlas Air Inc.,2013,7,11,"Anchorage, AK - New York, NY",11-07-2013,Weekday
20007,5,740,0,0,Atlas Air Inc.,2013,7,1,"Chicago, IL - New York, NY",01-07-2013,Weekday
20007,7,3110,0,0,Atlas Air Inc.,2013,8,5,"Cincinnati, OH - Anchorage, AK",05-08-2013,Weekday
20007,3,3386,0,0,Atlas Air Inc.,2013,8,7,"New York, NY - Anchorage, AK",07-08-2013,Weekday
20370,2,2021,0,0,Kalitta Air LLC,2013,8,18,"Columbus, OH - Seattle, WA",18-08-2013,Weekend
19874,2,1398,0,0,Air Transport International,2013,9,12,"Seattle, WA - Minneapolis, MN",12-09-2013,Weekday
19874,4,812,0,0,Air Transport International,2013,9,15,"Cincinnati, OH - Dallas/Fort Worth, TX",15-09-2013,Weekend
20357,21,752,0,0,"Astar USA, LLC",2013,9,6,"Boston, MA - Cincinnati, OH",06-09-2013,Weekday
20370,7,740,0,0,Kalitta Air LLC,2013,9,14,"Chicago, IL - New York, NY",14-09-2013,Weekend
20357,21,752,0,0,"Astar USA, LLC",2013,10,13,"Boston, MA - Cincinnati, OH",13-10-2013,Weekend
20357,4,337,0,0,"Astar USA, LLC",2013,10,8,"Los Angeles, CA - San Francisco, CA",08-10-2013,Weekday
20357,15,526,0,0,"Astar USA, LLC",2013,10,1,"Toledo, OH - Minneapolis, MN",01-10-2013,Weekday
20370,3,2504,0,0,Kalitta Air LLC,2013,10,8,"Kona, HI - Los Angeles, CA",08-10-2013,Weekday
19874,10,1900,0,0,Air Transport International,2013,10,8,"Cincinnati, OH - Los Angeles, CA",08-10-2013,Weekday
19874,6,224,0,0,Air Transport International,2013,10,3,"Houston, TX - Dallas/Fort Worth, TX",03-10-2013,Weekday
19874,10,135,0,0,Air Transport International,2013,6,1,"Seattle, WA - Portland, OR",01-06-2013,Weekend
